amount,duration,payments,min_amount,max_amount,avg_amount,min_balance,max_balance,avg_balance,credit,withdrawal,min_credit_amount,max_credit_amount,avg_credit_amount,min_withdrawal_amount,max_withdrawal_amount,avg_withdrawal_amount,members,last_balance,gender,no. of inhabitants,no. of municipalities with inhabitants < 499 ,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999 ,no. of municipalities with inhabitants >10000 ,no. of cities ,ratio of urban inhabitants ,average salary ,unemploymant rate '95 ,unemploymant rate '96 ,no. of enterpreneurs per 1000 inhabitants ,no. of commited crimes '95 ,no. of commited crimes '96 ,Prague,central Bohemia,east Bohemia,north Bohemia,north Moravia,south Bohemia,south Moravia,west Bohemia,number_of_cards,owner_age,loan_year,loan_month,loan_day,amount_moth,can_pay,status
321180,60,5353,14.6,48180.0,13585.028947368419,700.0,90257.3,40524.463157894745,17,21,17.7,48180.0,16276.9,14.6,34000.0,11405.89523809524,2,37183.5,0,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,0,0,0,0,0,1,0,0,0.0,60,1996,11,15,73747.29999999999,1,0
421008,48,8771,14.6,31540.0,8521.962,600.0,72330.4,37436.421999999984,22,28,44.9,31540.0,10392.413636363637,14.6,19100.0,7052.321428571429,1,31168.0,0,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,0,0,0,0,0,1,0,0,0.0,43,1996,11,18,47344.23333333333,1,0
274740,60,4579,30.0,63366.0,18945.966666666667,600.0,122893.1,57188.21111111113,13,14,77.1,63366.0,21255.930769230767,30.0,36700.0,16801.0,1,41112.9,0,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,0,0,0,0,0,0,1,0,0.0,14,1993,9,6,85256.84999999999,1,0
93888,36,2608,48.0,15649.0,7121.915789473684,600.0,52378.2,37510.49473684211,12,7,48.0,15649.0,7084.7,100.0,15500.0,7185.714285714285,1,34716.3,1,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,0,0,0,0,0,0,1,0,0.0,43,1993,12,8,33829.1,1,0
4980,12,415,14.6,16000.0,3932.5043478260877,800.0,41106.2,30533.37173913044,19,27,35.6,15528.0,5352.515789473684,14.6,16000.0,2933.2370370370368,1,22500.3,1,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,0,0,0,0,0,0,1,0,0.0,41,1994,7,5,25842.171428571433,1,0
288468,36,8013,6.4,30950.0,8402.382352941177,600.0,71939.2,36999.52352941177,14,3,6.4,30950.0,6845.750000000001,10700.0,23300.0,15666.666666666666,1,48665.3,1,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,0,0,0,0,0,0,1,0,0.0,36,1995,1,3,35710.125,1,0
87840,24,3660,51.3,32938.0,9496.929411764706,500.0,65847.8,46318.55294117648,14,3,51.3,32938.0,7331.9857142857145,15200.0,22000.0,19600.0,2,43847.8,1,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,0,1,0,0,0,0,0,0,0.0,13,1993,9,13,53815.93333333333,1,0
197748,36,5493,68.3,36216.0,14293.412500000002,300.0,74413.6,44735.43125,11,5,68.3,36216.0,12363.145454545454,5700.0,25100.0,18540.0,2,43294.5,1,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,0,1,0,0,0,0,0,0,0.0,23,1994,2,23,45738.920000000006,1,0
61656,24,2569,36.9,47337.0,16007.958333333334,400.0,89256.9,44763.458333333336,9,3,36.9,47337.0,13988.388888888889,13800.0,31400.0,22066.666666666668,1,59695.5,1,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,0,1,0,0,0,0,0,0,0.0,42,1996,2,10,38419.1,1,1
44628,12,3719,30.0,71565.0,14238.080821917805,900.0,112689.5,49477.32123287669,43,103,95.5,71565.0,25106.97209302325,30.0,59000.0,9700.582524271844,1,80439.7,0,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,0,1,0,0,0,0,0,0,0.0,52,1996,4,10,103937.98999999998,1,0
262980,60,4383,14.6,44022.0,7310.239285714285,900.0,78574.3,41729.616071428565,24,32,66.3,44022.0,10113.641666666668,14.6,22300.0,5207.687500000001,1,76081.3,1,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,0,1,0,0,0,0,0,0,0.0,30,1996,10,24,37215.763636363634,1,0
52788,12,4399,14.6,17920.0,3714.8976744186057,1000.0,41469.1,22198.179069767448,21,22,43.9,11427.0,4304.038095238095,14.6,17920.0,3152.536363636363,1,21029.0,0,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,0,0,0,0,0,1,0,0,0.0,20,1993,9,15,22820.08571428572,1,0
87216,48,1817,14.6,16356.0,4041.378787878787,200.0,41410.0,28362.24848484848,21,12,16.7,16356.0,3691.82380952381,14.6,12600.0,4653.099999999999,1,21579.1,0,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,0,0,0,0,0,1,0,0,0.0,30,1994,6,6,22227.58333333333,1,1
21396,12,1783,14.6,16048.0,4644.4371794871795,1000.0,46848.9,30812.946153846162,34,44,59.2,16048.0,5691.8852941176465,14.6,14075.0,3835.0454545454554,2,24782.0,0,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,0,0,0,0,0,1,0,0,0.0,26,1995,8,18,25876.149999999998,1,0
44376,12,3698,14.6,54100.0,15332.38717948718,800.0,124090.0,53505.215384615374,18,21,108.4,49412.0,18505.68333333333,14.6,54100.0,12612.41904761905,1,68241.5,0,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,0,0,0,0,0,1,0,0,0.0,34,1996,8,9,119592.62,1,0
174744,24,7281,14.6,52600.0,11557.949999999999,1000.0,105628.0,37485.456249999996,16,16,77.8,47436.0,13374.849999999999,14.6,52600.0,9741.050000000001,1,58140.9,1,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,0,0,0,0,0,0,0,1,0.0,45,1993,9,24,73970.87999999999,1,1
49320,12,4110,100.0,62700.0,10548.35918367347,900.0,126833.0,46576.27755102041,17,32,166.4,45628.0,15663.03529411765,100.0,62700.0,7831.1875,1,15673.6,1,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,0,0,0,0,0,0,0,1,0.0,48,1994,2,17,103373.92000000001,1,1
19044,36,529,14.2,24126.0,6600.440579710144,600.0,64981.1,43121.75507246376,29,40,14.2,24126.0,8717.206896551725,14.6,22300.0,5065.785000000002,1,50167.6,1,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,0,0,0,0,0,0,0,1,0.0,22,1996,7,11,35033.10769230769,1,0
15192,24,633,14.6,21513.0,4099.694674556212,500.0,48157.1,29941.905325443797,47,122,72.8,21513.0,7555.3234042553195,14.6,14000.0,2768.427868852459,1,17351.9,1,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,0,0,0,0,0,0,0,1,0.0,23,1996,9,25,31493.10909090908,1,0
154416,48,3217,13.6,39098.0,9740.15,8897.0,81723.5,46715.8,16,16,13.6,39098.0,11408.9875,30.0,19200.0,8071.3125,1,53402.7,1,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,0,0,0,0,0,1,0,0,0.0,24,1993,10,13,62336.96,1,0
21924,36,609,14.6,21739.5,5957.544444444446,1100.0,60432.4,34272.21333333335,21,24,38.3,21739.5,7551.738095238096,14.6,17200.0,4562.625000000001,2,49083.3,0,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,0,0,0,0,0,0,1,0,0.0,33,1993,11,10,29787.72222222223,1,0
14628,12,1219,2.0,23230.5,4093.035294117646,200.0,52184.7,32788.14215686272,29,73,49.4,23230.5,7799.868965517242,2.0,14100.0,2620.457534246576,1,34902.8,1,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,0,0,0,0,0,0,1,0,0.0,45,1994,8,4,34790.799999999996,1,0
121896,24,5079,14.6,64900.0,13230.344086021503,600.0,133454.9,54422.59677419359,39,54,17.7,49558.0,16312.041025641029,14.6,64900.0,11004.674074074072,1,41917.2,0,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,0,0,0,0,0,0,1,0,0.0,29,1994,8,27,82028.13333333332,1,0
71460,12,5955,14.6,48487.0,10433.439534883719,200.0,82549.0,47991.530232558136,20,23,35.9,48487.0,13133.975,14.6,24300.0,8085.147826086957,2,53022.0,0,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,0,0,0,0,0,0,1,0,0.0,49,1994,9,30,44863.78999999999,1,0
48672,36,1352,14.6,12100.0,1577.4938144329901,300.0,33484.4,23050.189690721647,34,63,33.8,12100.0,2590.1029411764707,14.6,5880.0,1031.006349206349,2,23110.0,1,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,0,0,0,0,0,0,1,0,0.0,46,1994,11,6,11770.530769230772,1,0
417600,60,6960,100.0,36305.0,8159.970588235291,200.0,87052.1,43196.74411764705,21,13,175.0,36305.0,8001.857142857141,100.0,31700.0,8415.384615384615,1,58638.6,0,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,0,0,0,0,0,0,1,0,1.0,26,1996,12,5,21341.461538461528,1,0
79608,24,3317,14.6,67124.0,17600.358490566032,800.0,125825.7,69954.57169811318,22,31,110.2,67124.0,23558.290909090912,14.6,51700.0,13372.148387096771,1,103745.7,0,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325,0,0,1,0,0,0,0,0,0.0,23,1993,11,22,93281.89999999998,1,0
149340,60,2489,30.0,22404.0,5778.791071428573,500.0,53214.0,29069.11607142853,23,33,32.2,22404.0,7546.752173913043,30.0,13200.0,4546.575757575758,1,23538.3,0,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325,0,0,1,0,0,0,0,0,0.0,31,1994,4,7,32361.230000000003,1,0
314520,60,5242,30.0,56700.0,15168.362307692307,500.0,128119.4,63527.42000000002,56,74,88.2,49457.0,18056.912500000002,30.0,56700.0,12982.432432432432,1,50487.0,1,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325,0,0,1,0,0,0,0,0,0.0,39,1995,10,2,131459.13999999998,1,0
277884,36,7719,14.6,53200.0,10720.307692307697,1000.0,129394.2,46487.00256410256,46,71,15.0,47031.0,13759.673913043482,14.6,53200.0,8751.140845070418,1,11614.0,1,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325,0,0,1,0,0,0,0,0,0.0,15,1996,4,18,57012.54545454548,1,1
464520,60,7742,30.0,47757.0,13335.798529411764,200.0,125943.1,51760.01617647063,31,37,42.4,47757.0,16035.55806451613,30.0,41000.0,11073.837837837838,1,87370.3,1,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,0,0,0,0,1,0,0,0,0.0,52,1993,12,1,113354.28749999999,1,1
89040,60,1484,14.6,15843.0,3441.2045977011485,800.0,46550.2,30045.399999999998,44,43,25.2,15843.0,3735.122727272728,14.6,11400.0,3140.451162790698,2,29305.8,1,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,0,0,0,0,1,0,0,0,0.0,24,1994,5,9,24948.733333333326,1,0
173808,24,7242,43.3,74522.0,17396.585333333336,1000.0,134416.6,61218.658666666684,26,49,43.3,74522.0,26907.22692307692,100.0,38200.0,12350.122448979591,2,94431.9,1,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,0,0,0,0,1,0,0,0,0.0,37,1994,7,11,108728.65833333334,1,0
48744,36,1354,53.7,28603.5,11392.235714285713,900.0,62891.3,42930.20714285715,11,3,53.7,28603.5,10108.3,13000.0,18600.0,16100.0,1,62891.3,1,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,0,0,0,0,1,0,0,0,0.0,32,1996,9,14,39872.825,1,0
95400,36,2650,23.6,35760.0,10370.702127659575,200.0,92354.8,41562.32340425532,22,25,23.6,35760.0,11706.590909090908,30.0,33500.0,9195.12,1,27667.0,0,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,0,1,0,0,0,0,0,0,0.0,22,1993,12,8,60927.875,1,0
174744,24,7281,0.2,46739.0,7375.6279661016915,-1369.2,96659.4,26252.81440677967,38,80,33.3,46739.0,11542.82894736842,0.2,37500.0,5396.207499999999,1,6930.8,1,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,0,1,0,0,0,0,0,0,0.0,15,1994,6,17,62166.00714285712,1,1
538500,60,8975,14.6,32082.0,8499.93448275862,200.0,69775.9,33687.85862068966,22,36,40.4,32082.0,11733.345454545457,14.6,23800.0,6523.961111111112,1,23271.0,0,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,0,1,0,0,0,0,0,0,0.0,34,1995,2,17,49299.61999999999,1,0
285600,60,4760,30.0,42729.0,10411.720408163264,1100.0,126077.1,49651.8918367347,24,25,31.1,42729.0,11216.012500000003,30.0,33600.0,9639.6,2,28194.4,1,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,0,1,0,0,0,0,0,0,0.0,14,1995,7,25,72882.04285714285,1,0
155640,24,6485,14.6,34486.0,5793.879999999999,500.0,72838.9,45183.34952380955,27,78,38.6,34486.0,12015.777777777777,14.6,21700.0,3640.146153846154,1,40494.6,1,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,0,1,0,0,0,0,0,0,0.0,53,1996,8,4,46796.72307692307,1,0
259740,60,4329,75.3,38960.0,13038.088235294117,800.0,79633.5,45198.15294117648,10,7,75.3,38960.0,14443.35,1300.0,21500.0,11030.57142857143,1,67219.5,0,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,0,0,0,0,1,0,0,0,0.0,14,1993,12,13,55411.875,1,0
239460,60,3991,14.6,35918.0,9689.680434782607,300.0,74408.8,40061.58043478263,18,28,30.4,35918.0,13387.93888888889,14.6,23200.0,7312.228571428573,1,36240.6,1,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,0,0,0,0,1,0,0,0,0.0,51,1994,6,23,55715.66249999999,1,0
76680,24,3195,14.6,57554.0,9877.504195804198,1000.0,104676.1,62933.4748251748,53,90,91.9,57554.0,13581.835849056604,14.6,38700.0,7696.064444444442,2,27191.2,0,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,0,0,0,0,1,0,0,0,0.0,46,1995,3,11,83087.2411764706,1,0
68400,12,5700,66.2,31037.0,7253.299999999998,800.0,51242.2,31793.735714285714,9,5,66.2,31037.0,6971.799999999999,2200.0,15800.0,7760.0,1,23946.1,1,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,0,0,0,0,1,0,0,0,0.0,18,1995,4,15,20309.239999999998,1,1
99336,24,4139,14.6,16866.0,4348.373076923077,300.0,46568.0,27019.571153846144,24,28,58.5,16866.0,5352.908333333333,14.6,11900.0,3487.342857142858,1,30824.1,1,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,0,0,0,0,1,0,0,0,0.0,15,1995,11,4,22611.54,1,0
141948,36,3943,49.6,28840.0,8963.98,800.0,63263.1,32592.68,7,3,49.6,28840.0,9777.114285714286,200.0,16200.0,7066.666666666667,1,47239.7,1,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,0,0,0,0,1,0,0,0,0.0,45,1996,7,6,29879.933333333334,1,0
38148,12,3179,9.9,32706.0,8369.555172413793,900.0,62324.6,37462.093103448286,18,11,9.9,32706.0,8067.861111111111,14.6,20600.0,8863.236363636364,1,47725.8,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,28,1993,12,16,48543.42,1,0
80952,24,3373,13.5,30354.0,7954.2574074074055,1100.0,67529.6,32590.62407407406,22,32,13.5,30354.0,10394.786363636362,14.6,22400.0,6276.393750000001,2,27840.6,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,48,1994,1,5,42952.98999999999,1,0
80952,24,3373,13.5,30354.0,7937.749999999999,1100.0,67529.6,33312.53888888891,22,32,13.5,30354.0,10395.177272727273,14.6,22400.0,6248.268750000001,2,28749.1,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,48,1994,1,5,42863.84999999999,1,0
24516,12,2043,12.5,59200.0,16201.558904109586,200.0,125254.2,55582.22602739725,31,42,12.5,49536.0,20344.677419354834,14.6,59200.0,13143.542857142855,1,78656.2,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,35,1994,1,10,118271.37999999998,1,0
80340,12,6695,14.6,61260.0,15464.398076923077,1100.0,122523.5,61531.59038461539,22,30,147.8,61260.0,20306.622727272726,14.6,39200.0,11913.43333333333,2,89342.6,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,18,1994,5,20,80414.87,1,0
288360,60,4806,8.7,27116.0,8585.039999999999,800.0,58495.8,33211.759999999995,8,2,8.7,27116.0,8081.299999999999,6000.0,15200.0,10600.0,1,43313.2,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,58,1994,6,14,28616.8,1,0
131292,36,3647,12.1,32823.0,7915.583132530121,1000.0,70288.4,36635.11566265061,29,54,12.1,32823.0,11868.186206896553,30.0,24000.0,5792.888888888889,1,31361.3,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,40,1994,7,28,50537.95384615385,1,0
120888,36,3358,30.0,49200.0,9301.089583333334,600.0,116468.4,40838.75520833332,36,60,85.0,48618.0,13123.877777777778,30.0,49200.0,7007.416666666667,1,52014.4,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,50,1994,8,5,55806.537500000006,1,0
323472,48,6739,14.6,44802.0,12422.015789473682,200.0,119934.1,45414.07368421048,28,29,52.9,44802.0,13879.189285714285,14.6,33900.0,11015.089655172413,1,69179.8,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,53,1994,8,10,54465.761538461535,1,0
209184,48,4358,14.6,61800.0,14438.211764705879,1000.0,110583.8,46230.339705882405,26,42,70.1,54645.0,19731.79230769231,14.6,61800.0,11161.233333333332,1,44254.7,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,41,1994,9,11,81816.53333333331,1,0
87816,12,7318,14.6,14886.0,4538.900000000001,800.0,43442.2,25533.2142857143,41,43,54.5,14886.0,4840.648780487804,14.6,10300.0,4251.186046511629,2,15665.6,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,33,1994,9,26,25417.840000000004,1,0
11736,24,489,14.6,33098.0,6032.843609022554,1100.0,70826.8,42224.43909774438,36,97,34.8,33098.0,11518.78888888889,14.6,22500.0,3996.8226804123706,1,26984.4,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,56,1994,10,2,47198.12941176469,1,0
205200,36,5700,30.0,51303.0,9244.202325581395,900.0,93928.5,58336.31162790698,36,93,82.4,51303.0,17320.669444444447,30.0,31200.0,6117.8279569892475,1,54586.0,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,31,1994,12,4,70147.18235294116,1,0
482940,60,8049,7.8,21056.0,4060.6807692307675,900.0,57707.2,26358.7546153846,56,74,7.8,21056.0,4877.926785714286,14.6,15800.0,3442.224324324325,1,18439.4,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,18,1994,12,19,35192.56666666665,1,1
31248,12,2604,14.6,64100.0,13845.45833333334,1000.0,144715.3,64493.09916666662,51,69,128.0,47033.0,16817.427450980394,14.6,64100.0,11648.785507246375,1,53922.3,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,55,1994,12,21,92303.05555555559,1,0
76380,12,6365,14.6,12861.0,3571.5911111111113,1100.0,41703.3,26122.848888888897,20,25,36.1,12861.0,4596.959999999999,14.6,8700.0,2751.296,1,23156.6,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,37,1995,1,2,22960.22857142857,1,0
270648,36,7518,30.0,52700.0,12958.563888888888,200.0,134501.4,60819.976388888885,36,36,105.9,47433.0,13666.849999999999,30.0,52700.0,12250.277777777777,1,50996.5,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,57,1995,1,8,103668.5111111111,1,1
76416,24,3184,14.6,28659.0,6527.337254901959,8686.4,64494.1,31375.160784313728,57,96,48.8,28659.0,8867.943859649122,14.6,21400.0,5137.602083333331,2,12262.9,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,57,1995,1,11,47556.314285714274,1,0
316140,60,5269,14.6,13352.0,3872.0683453237402,800.0,39616.2,18632.933812949643,60,79,16.7,13352.0,4591.911666666667,14.6,9500.0,3325.3518987341777,1,12811.8,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,26,1995,2,5,24464.431818181813,1,1
168984,24,7041,2.5,55200.0,11357.386875000004,-517.7,120806.4,56053.99750000008,74,86,28.0,49960.0,12442.474324324327,2.5,55200.0,10423.706976744183,1,24304.3,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,18,1995,3,4,100954.55000000003,1,1
15420,12,1285,14.6,13881.0,3142.1841059602634,1000.0,41137.4,24577.200000000033,53,98,22.1,13881.0,4776.766037735849,14.6,11840.0,2258.1755102040825,1,31867.2,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,29,1995,3,21,22593.79999999999,1,0
31728,24,1322,14.6,22267.5,5173.091452991451,600.0,56122.8,31139.747863247834,41,76,36.5,22267.5,7781.153658536584,14.6,19680.0,3766.1105263157897,2,32802.7,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,44,1995,3,27,33625.09444444443,1,0
18564,12,1547,24.0,25603.5,8589.66923076923,200.0,56498.4,35538.04615384616,9,4,24.0,25603.5,8607.3,300.0,13400.0,8550.0,1,43265.7,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,32,1995,4,2,27916.425,1,0
