"att1","loan_id","amount","duration","payments","min_amount","max_amount","avg_amount","min_balance","max_balance","avg_balance","credit","withdrawal","members","last_balance","gender","no. of inhabitants","no. of municipalities with inhabitants < 499 ","no. of municipalities with inhabitants 500-1999","no. of municipalities with inhabitants 2000-9999 ","no. of municipalities with inhabitants >10000 ","no. of cities ","ratio of urban inhabitants ","average salary ","unemploymant rate '95 ","unemploymant rate '96 ","no. of enterpreneurs per 1000 inhabitants ","no. of commited crimes '95 ","no. of commited crimes '96 ","Prague","central Bohemia","east Bohemia","north Bohemia","north Moravia","south Bohemia","south Moravia","west Bohemia","number_of_cards","owner_age","loan_year","loan_month","loan_day","confidence(false)","confidence(true)","prediction(status)"
10,6938,341280,60,5688,8.5,56700.0,13641.946753246752,700.0,110020.6,49678.36623376625,28,49,1,68367.1,0,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487,0,1,0,0,0,0,0,0,1.0,47,1997,3,10,0.3417488725467235,0.6582511274532766,"true"
11,5932,33348,12,2779,14.6,49787.0,11718.187301587302,700.0,102499.5,45807.11428571427,26,37,1,17171.7,1,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487,0,1,0,0,0,0,0,0,0.0,26,1997,6,18,0.462259463901138,0.537740536098862,"true"
12,5398,53472,12,4456,22.8,63600.0,14576.122388059703,300.0,172962.5,64144.50223880592,58,76,2,64284.3,0,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487,0,1,0,0,0,0,0,0,0.0,57,1997,11,4,0.2696541081535392,0.7303458918464608,"true"
13,6855,52236,36,1451,14.6,12600.0,2807.9742574257434,600.0,48645.0,33782.061386138615,51,50,2,37291.3,0,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487,0,1,0,0,0,0,0,0,0.0,59,1998,3,1,0.2315866155114538,0.7684133844885463,"true"
14,6632,144960,48,3020,14.6,58100.0,13557.819178082198,700.0,144853.8,64162.66917808222,58,88,1,29245.0,1,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487,0,1,0,0,0,0,0,0,0.0,31,1998,4,23,0.2511400358966359,0.7488599641033641,"true"
15,5358,38520,12,3210,14.6,8800.0,2373.2666666666673,900.0,31302.0,20231.313157894707,52,62,1,13994.3,0,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668,0,0,1,0,0,0,0,0,0.0,57,1997,1,21,0.4178205743585774,0.5821794256414226,"true"
16,5674,207264,48,4318,100.0,56700.0,14578.791379310345,400.0,123573.3,61345.09999999995,26,32,2,46181.9,0,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668,0,0,1,0,0,0,0,0,0.0,34,1997,6,10,0.18644917423993296,0.8135508257600664,"true"
17,5384,23328,12,1944,14.6,27285.0,7965.125925925928,1000.0,68151.2,40311.637037037035,14,13,2,27807.9,1,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668,0,0,1,0,0,0,0,0,0.0,33,1998,3,7,0.18565280862746583,0.814347191372534,"true"
18,5589,390000,48,8125,100.0,48500.0,10797.127272727272,600.0,120714.8,48798.697727272745,23,21,1,23199.6,0,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668,0,0,1,0,0,0,0,0,0.0,50,1998,6,5,0.52312576935047,0.47687423064953,"false"
19,5042,331584,48,6908,14.6,33590.0,9274.97920792079,400.0,73943.0,42007.366336633655,40,61,2,55494.8,1,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668,0,0,1,0,0,0,0,0,0.0,25,1998,7,12,0.19520887628196354,0.8047911237180362,"true"
20,6095,68340,60,1139,14.6,36463.5,9042.84736842105,500.0,71564.8,41735.420175438565,40,74,1,46156.7,0,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,0,1,0,0,0,0,0,0,0.0,43,1997,1,24,0.2042545410781886,0.7957454589218108,"true"
21,7049,233424,36,6484,30.0,62800.0,13561.891836734696,200.0,105024.8,54476.85714285719,17,32,1,47248.7,0,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,0,1,0,0,0,0,0,0,0.0,38,1997,6,24,0.2634038195375242,0.7365961804624759,"true"
22,6075,129312,24,5388,3.5,49950.0,12539.060526315798,-8657.3,116311.7,45330.9197368421,62,90,1,71516.6,1,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,0,1,0,0,0,0,0,0,0.0,24,1997,11,26,0.5948801129789749,0.40511988702102525,"false"
23,6878,23184,12,1932,14.6,11748.0,2701.503448275863,200.0,48344.0,36729.801724137906,33,25,1,42501.4,1,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,0,0,0,0,0,0,1,0,0.0,17,1997,1,24,0.2615186784574724,0.7384813215425272,"true"
24,5790,84288,48,1756,36.1,18368.0,6498.458333333333,1000.0,48781.6,29824.12499999999,9,3,1,37381.6,1,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,0,0,0,0,0,0,1,0,0.0,19,1997,3,20,0.4706458049496496,0.5293541950503509,"true"
25,5532,335280,48,6985,23.1,62868.0,13584.956701030926,500.0,123335.2,43629.436082474225,31,66,1,29850.9,1,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,0,0,0,0,0,0,1,0,0.0,44,1997,5,4,0.26720583250527785,0.7327941674947223,"true"
26,6118,349392,48,7279,14.6,52700.0,12631.077931034484,900.0,142574.7,59951.07517241377,61,84,1,64035.7,0,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,0,0,0,0,0,0,1,0,1.0,43,1997,10,4,0.2520411026756998,0.7479588973243002,"true"
27,6442,194160,48,4045,14.6,17642.0,3355.957894736841,900.0,48106.2,28548.365413533855,41,92,1,29713.9,1,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,0,0,0,0,0,0,1,0,0.0,52,1998,2,8,0.31784816635515284,0.6821518336448474,"true"
28,6554,390096,48,8127,43.5,36178.0,13992.375,900.0,77467.0,44346.15625,10,6,2,44278.0,0,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,0,0,1,0,0,0,0,0,0.0,18,1997,1,29,0.24805261132410075,0.7519473886758989,"true"
29,5973,219456,48,4572,88.3,29445.0,14574.890909090907,400.0,77123.8,44366.05454545455,8,3,2,77123.8,1,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,0,0,1,0,0,0,0,0,0.0,37,1997,11,24,0.24835618140859464,0.7516438185914048,"true"
30,5043,468060,60,7801,30.0,70210.0,13857.611607142857,400.0,127425.3,59623.21607142848,32,80,2,95234.6,1,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,0,0,1,0,0,0,0,0,0.0,50,1997,12,25,0.24615447461869402,0.7538455253813058,"true"
31,7195,339168,48,7066,14.6,9200.0,3591.366666666667,1000.0,41024.0,28634.139215686286,28,23,1,28677.8,1,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,0,0,1,0,0,0,0,0,0.0,56,1998,4,23,0.39124635675572716,0.6087536432442727,"true"
32,6746,185640,60,3094,14.6,27850.0,6177.987272727271,400.0,59523.5,29159.44181818182,30,25,1,21519.2,1,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,0,0,1,0,0,0,0,0,0.0,35,1998,6,6,0.40148295789394944,0.5985170421060511,"true"
33,6793,186300,60,3105,5.9,63700.0,12880.9243697479,200.0,170682.8,62765.86554621852,54,65,1,26264.0,0,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,0,0,0,0,0,0,1,0,0.0,49,1997,1,30,0.3700001403553752,0.6299998596446248,"true"
34,5940,106944,24,4456,95.5,31480.0,14678.866666666665,800.0,83932.6,57324.07222222221,10,8,1,54045.6,1,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,0,0,0,0,0,0,1,0,0.0,44,1997,5,28,0.2902130919681711,0.7097869080318286,"true"
35,5584,24792,24,1033,14.6,35143.5,7184.2881481481445,500.0,72489.8,47061.86000000002,40,95,1,69188.8,0,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,0,0,0,0,0,0,1,0,0.0,39,1997,12,6,0.18471868527741142,0.8152813147225879,"true"
36,5669,71820,36,1995,14.6,48698.0,10139.363291139238,700.0,119933.3,54293.59240506329,31,48,1,42629.7,0,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,0,0,0,0,0,0,1,0,0.0,34,1998,6,27,0.25778016391640285,0.7422198360835964,"true"
37,7286,67320,36,1870,14.6,16833.0,3749.468468468468,200.0,43949.4,26491.780180180227,38,73,1,19757.5,0,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,0,1,0,0,0,0,0,0,0.0,25,1997,1,31,0.43903702027918273,0.5609629797208172,"true"
38,5992,76080,12,6340,14.6,57063.0,11450.617283950618,300.0,103809.7,50621.10493827166,25,56,1,70923.6,1,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,0,1,0,0,0,0,0,0,1.0,17,1997,3,18,0.2563031807253586,0.7436968192746407,"true"
39,6278,87360,24,3640,14.6,58400.0,16362.865217391303,200.0,134714.0,69963.48405797103,27,42,1,58492.3,0,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,0,1,0,0,0,0,0,0,0.0,60,1997,6,10,0.26848692902325333,0.7315130709767469,"true"
40,6196,177804,36,4939,14.6,60100.0,13451.669230769232,800.0,140728.2,54375.023076923084,40,51,1,46296.7,1,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,0,1,0,0,0,0,0,0,0.0,26,1997,9,14,0.2730583982249052,0.7269416017750945,"true"
41,6052,22356,36,621,14.6,9588.0,2960.05,6392.0,37212.7,25150.97592592593,24,30,1,17213.5,0,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,0,1,0,0,0,0,0,0,0.0,57,1998,3,23,0.22718735060950423,0.7728126493904959,"true"
42,5354,290820,60,4847,14.0,28840.0,5449.588095238095,900.0,62178.2,44617.08095238094,25,59,1,53388.9,0,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,0,1,0,0,0,0,0,0,0.0,60,1998,7,14,0.34879796861986073,0.6512020313801395,"true"
43,6076,117420,60,1957,14.6,30794.0,6893.93953488372,500.0,68584.8,40841.79534883722,17,26,1,24539.8,0,75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660,2123,0,0,1,0,0,0,0,0,0.0,30,1997,2,2,0.28452267472288,0.7154773252771198,"true"
44,5134,53076,12,4423,14.6,23817.0,5937.387692307691,500.0,65121.6,33129.40307692311,26,39,1,21065.7,0,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,0,0,0,0,0,1,0,0,0.0,48,1997,2,2,0.4247861960517606,0.5752138039482393,"true"
45,6147,177504,48,3698,64.9,61800.0,9661.806976744188,14855.3,139525.4,44723.35581395345,38,48,1,19981.3,0,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,0,0,0,0,0,1,0,0,0.0,53,1997,12,28,0.354816523190339,0.6451834768096603,"true"
46,6237,407952,48,8499,14.6,9900.0,3453.9115384615397,-1449.6,29696.8,14785.585897435894,41,37,1,10763.9,1,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,0,0,0,0,0,1,0,0,0.0,23,1998,1,6,0.5617794729312461,0.43822052706875386,"false"
47,5245,125472,24,5228,44.6,64700.0,15077.016883116887,800.0,143696.8,71376.04415584417,32,45,2,42152.2,1,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,0,0,0,0,0,1,0,0,0.0,51,1998,1,17,0.1857229322316197,0.8142770677683796,"true"
48,5582,41256,12,3438,14.6,73128.0,11082.80093023256,900.0,124519.7,63500.406976744096,48,167,2,79902.5,0,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,0,0,0,0,0,1,0,0,1.0,59,1998,4,17,0.2208676196810074,0.7791323803189917,"true"
49,6508,110736,48,2307,30.0,20762.0,4766.714545454545,13026.6,55991.1,30696.238181818226,23,32,1,34595.1,1,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,0,0,0,0,0,1,0,0,0.0,58,1998,4,19,0.4255564231029606,0.5744435768970394,"true"
50,4968,110736,48,2307,30.0,20762.0,4716.194545454545,13841.0,55991.1,31383.449090909107,23,32,1,37416.7,1,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,0,0,0,0,0,1,0,0,0.0,58,1998,4,19,0.41414861841863937,0.5858513815813605,"true"
51,6571,140064,24,5836,30.0,64186.0,13771.42323943662,200.0,107275.7,66051.94507042257,46,96,1,73874.0,1,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,0,0,0,0,0,1,0,0,0.0,47,1998,5,12,0.21124522663876125,0.788754773361238,"true"
52,5419,415800,60,6930,14.6,48667.0,12449.36486486486,700.0,140706.0,44265.27297297299,18,19,1,13480.4,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,47,1997,2,5,0.5836454420634006,0.4163545579365993,"false"
53,6377,17184,12,1432,14.6,17689.5,3752.75,400.0,44504.8,29906.531428571452,25,45,1,40773.2,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,52,1997,3,17,0.18164896546444592,0.8183510345355541,"true"
54,6562,94488,24,3937,14.6,49400.0,11653.442424242421,800.0,105964.6,60311.7666666667,26,40,1,70683.9,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,38,1997,3,21,0.25156016953025656,0.7484398304697427,"true"
55,6913,99936,24,4164,14.6,49312.0,7603.798026315787,400.0,111406.5,55851.802631578925,65,87,1,91178.5,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,31,1997,4,29,0.27845848809303575,0.7215415119069634,"true"
56,6014,165168,36,4588,14.6,41296.0,8861.790721649484,300.0,87236.0,35478.661855670114,30,67,2,25659.5,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,38,1997,5,18,0.29507277189135706,0.7049272281086428,"true"
57,5556,268320,60,4472,14.6,18224.0,4646.150000000001,200.0,49189.6,24411.29423076921,21,31,1,12652.9,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,44,1997,5,19,0.6181092069719252,0.3818907930280743,"false"
58,6346,100260,60,1671,14.6,49000.0,9885.91451612903,1000.0,106481.5,40047.08387096776,33,29,1,77813.6,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,29,1997,5,22,0.22537067941770744,0.7746293205822924,"true"
59,6310,34572,12,2881,14.6,49784.0,13359.8125,1100.0,121367.5,60619.16000000002,21,19,1,83661.6,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,20,1997,6,17,0.20109950769816712,0.7989004923018328,"true"
60,6763,88272,48,1839,14.6,16554.0,4253.805194805194,800.0,37880.4,17535.77922077923,40,37,1,7083.3,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,18,1997,6,19,0.46736582452892134,0.5326341754710786,"true"
61,7051,77808,12,6484,14.6,38000.0,12138.521739130434,1000.0,101117.1,68874.72173913043,13,10,2,57698.3,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,41,1997,7,28,0.17087541642002685,0.8291245835799732,"true"
62,5117,76944,12,6412,14.6,49800.0,8322.76818181818,500.0,105970.4,40141.79545454546,39,71,1,59256.4,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,40,1997,8,20,0.25391804872968615,0.7460819512703133,"true"
63,6338,390660,60,6511,14.6,61600.0,15753.593827160495,300.0,164909.5,63544.64567901234,32,49,1,60956.6,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,19,1997,8,24,0.286144344296826,0.7138556557031739,"true"
64,5719,271584,48,5658,14.6,48039.0,14286.51777777778,800.0,115112.9,62387.09000000005,41,49,1,92401.4,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,21,1997,9,20,0.27576371597032584,0.724236284029674,"true"
65,7181,197808,24,8242,13.3,74176.0,26978.873333333337,900.0,111796.9,64942.89333333332,9,6,1,43883.1,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,34,1997,10,2,0.3563227081735587,0.6436772918264412,"true"
66,7264,44940,12,3745,30.0,78600.0,13027.2,200.0,106467.0,52484.82250000001,21,19,1,76986.0,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,21,1997,10,7,0.20747509332300987,0.79252490667699,"true"
67,5343,44952,24,1873,14.6,49785.0,9539.001123595503,1000.0,127317.0,51453.801123595505,30,59,1,51718.3,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,27,1997,10,8,0.1729270451299606,0.8270729548700393,"true"
68,7277,89280,12,7440,14.6,66964.0,15233.588461538458,900.0,109529.5,60522.04038461536,18,34,1,62119.7,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,49,1997,10,24,0.24908491520686796,0.7509150847931322,"true"
69,6468,203940,60,3399,14.6,37200.0,9742.898148148146,400.0,72580.1,42000.78888888887,23,31,1,51081.3,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,43,1997,11,30,0.3047069678401451,0.6952930321598546,"true"
70,7037,218064,48,4543,14.6,40884.0,10188.81282051282,400.0,81063.2,54315.55897435898,15,24,1,42694.0,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,53,1998,1,3,0.4121524738565105,0.5878475261434895,"true"
71,5782,63576,12,5298,14.6,56900.0,11790.425,500.0,109399.2,59128.587499999994,20,12,1,43635.1,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,37,1998,1,4,0.2790932761236975,0.7209067238763022,"true"
72,5930,66696,24,2779,14.6,32030.0,10860.606250000003,1000.0,89595.1,58360.68125,10,6,1,67420.5,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,22,1998,1,12,0.2543995489095333,0.7456004510904659,"true"
73,6791,566640,60,9444,14.6,26384.0,5104.67922077922,200.0,61992.7,36640.32207792206,32,45,2,29900.3,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,25,1998,1,23,0.3598423781743524,0.6401576218256477,"true"
74,5332,37944,36,1054,14.6,36996.0,8860.97289719626,500.0,100074.6,61295.96915887843,38,69,1,72915.1,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,1.0,31,1998,1,29,0.1930303903057053,0.8069696096942943,"true"
75,5491,428784,48,8933,14.6,14146.0,3808.919999999999,1100.0,47281.2,22133.73545454547,39,71,2,8707.1,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,61,1998,2,13,0.3278501724659732,0.6721498275340267,"true"
76,7129,194280,60,3238,10.0,36932.0,6314.9646017699115,300.0,77920.1,48180.3778761062,29,84,1,30638.8,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,28,1998,3,1,0.5216950407460178,0.47830495925398214,"false"
77,6948,157068,36,4363,45.2,44217.0,10315.961904761905,400.0,88837.6,38742.92380952381,14,7,1,38635.4,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,26,1998,3,15,0.48893980304861495,0.5110601969513852,"true"
78,6962,279072,48,5814,15.8,45700.0,12324.537209302327,300.0,111246.0,43095.51162790698,40,46,2,21498.3,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,29,1998,4,2,0.35938029893752743,0.6406197010624725,"true"
79,6766,74352,24,3098,14.6,55186.0,11075.569841269842,1100.0,96165.9,45497.74206349206,53,73,1,52767.8,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,40,1998,4,28,0.2568417621627159,0.7431582378372832,"true"
80,7172,45720,12,3810,14.6,45213.0,9538.880232558136,700.0,87185.5,41690.6,27,59,1,29108.8,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,19,1998,5,7,0.25961776627654737,0.7403822337234518,"true"
81,5501,136344,24,5681,14.6,15902.0,4987.943846153843,300.0,57858.4,31673.896923076907,57,73,2,39847.5,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,33,1998,5,21,0.26353804443947726,0.7364619555605223,"true"
82,6234,5148,12,429,14.6,32125.5,7503.7249999999985,1000.0,66177.3,43197.281250000015,28,52,1,49297.2,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,35,1998,5,28,0.17008808946916937,0.8299119105308306,"true"
83,6450,234336,48,4882,14.6,43942.0,8040.113609467457,1000.0,90490.8,42818.50295857989,46,123,1,66284.9,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,26,1998,6,10,0.28597120845804114,0.7140287915419585,"true"
84,5823,212976,36,5916,14.6,61900.0,12327.571140939604,1100.0,119287.7,49635.71543624162,62,87,2,53222.2,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,24,1998,6,21,0.23334892113694683,0.7666510788630527,"true"
85,5334,209040,24,8710,14.6,45440.0,6884.192424242423,900.0,74276.7,44982.42272727275,27,39,1,57504.2,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,19,1998,9,10,0.3775530257642375,0.6224469742357626,"true"
86,6821,321936,48,6707,14.6,19533.0,4220.937078651684,400.0,62516.8,32014.602808988773,86,92,2,62516.8,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,37,1998,9,15,0.25846814190771666,0.7415318580922831,"true"
87,5760,74916,36,2081,14.6,59600.0,11652.356804733732,600.0,143676.5,56133.65266272182,59,110,1,43455.2,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,56,1998,9,18,0.24698515714900302,0.7530148428509965,"true"
88,6168,99216,36,2756,14.6,54500.0,12681.030232558143,300.0,124071.7,57018.617441860515,37,49,2,30810.9,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,47,1998,11,21,0.2006240148739295,0.7993759851260703,"true"
89,5644,276084,36,7669,14.6,69018.0,10721.933802816902,1100.0,132186.8,58466.19366197177,33,109,1,57631.4,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,1.0,34,1998,11,27,0.3589592977847819,0.6410407022152179,"true"
